id,name,description,category_fk
100,Leashes,Dog leashes,1
101,Food,Nutritious and delicious dog food.,1
102,Toys,Dog toys like  balls and chews.,1
103,Clothing,Stylish and functional clothing for dogs.,1
110,Dry Food,Dry cat food.,2
111,Wet Food,Wet cat food.,2
112,Scratching Posts,Posts in all shapes and sizes.,2
113,Collars,Great collars from fashionable to functional.,2
120,Fish Food,Affordable and nutritious food.,3
121,Aquarium Supplies,'Functional supplies such as gravel, filter, and heaters.',3
122,Aquatic Decorations,'Fake and real plants, backdrops, and under water curiosities.',3
130,Rodent Chews,Fun toys to promote healthy tooth growth., 4
131,Hamster and Gerbil Cages,Wood and metal cages and connecting assessories., 4
132,Hamster Food,Healthy selection of seeds and plant products for your hamster., 4
133,Hamster Balls and Toys,Hamster mobility and play time products,4
